[[0 0 0 0 0 0 0 0 0]],8,1,[[0 0 0 0 0 0 0 0 1]]
[[2 0 0 0 0 0 0 0 1]],4,1,[[2 0 0 0 1 0 0 0 1]]
[[2 0 0 0 1 0 2 0 1]],3,1,[[2 0 0 1 1 0 2 0 1]]
[[2 0 2 1 1 0 2 0 1]],5,15,[[2 0 2 1 1 1 2 0 1]]
[[0 0 0 0 0 0 0 0 0]],6,1,[[0 0 0 0 0 0 1 0 0]]
[[2 0 0 0 0 0 1 0 0]],1,1,[[2 1 0 0 0 0 1 0 0]]
[[2 1 0 0 0 0 1 0 2]],7,1,[[2 1 0 0 0 0 1 1 2]]
[[2 1 0 2 0 0 1 1 2]],5,1,[[2 1 0 2 0 1 1 1 2]]
[[2 1 2 2 0 1 1 1 2]],4,15,[[2 1 2 2 1 1 1 1 2]]
[[0 0 0 0 0 0 0 0 0]],1,1,[[0 1 0 0 0 0 0 0 0]]
[[0 1 0 0 2 0 0 0 0]],0,1,[[1 1 0 0 2 0 0 0 0]]
[[1 1 0 0 2 0 2 0 0]],7,1,[[1 1 0 0 2 0 2 1 0]]
[[1 1 0 0 2 2 2 1 0]],8,1,[[1 1 0 0 2 2 2 1 1]]
[[1 1 0 0 2 2 2 1 0]],8,-20,[[1 1 0 2 2 2 2 1 1]]
[[0 0 0 0 0 0 0 0 0]],7,1,[[0 0 0 0 0 0 0 1 0]]
[[0 0 0 0 0 0 2 1 0]],3,1,[[0 0 0 1 0 0 2 1 0]]
[[0 2 0 1 0 0 2 1 0]],8,1,[[0 2 0 1 0 0 2 1 1]]
[[0 2 0 1 2 0 2 1 1]],5,1,[[0 2 0 1 2 1 2 1 1]]
[[2 2 0 1 2 1 2 1 1]],2,15,[[2 2 1 1 2 1 2 1 1]]
[[0 0 0 0 0 0 0 0 0]],1,1,[[0 1 0 0 0 0 0 0 0]]
[[0 1 2 0 0 0 0 0 0]],1,-20,[[0 1 2 0 0 0 0 0 0]]
[[0 0 0 0 0 0 0 0 0]],8,1,[[0 0 0 0 0 0 0 0 1]]
[[0 2 0 0 0 0 0 0 1]],4,1,[[0 2 0 0 1 0 0 0 1]]
[[0 2 0 0 1 0 2 0 1]],4,-20,[[0 2 0 0 1 0 2 0 1]]
[[0 0 0 0 0 0 0 0 0]],3,1,[[0 0 0 1 0 0 0 0 0]]
[[0 0 0 1 0 0 2 0 0]],4,1,[[0 0 0 1 1 0 2 0 0]]
[[0 2 0 1 1 0 2 0 0]],2,1,[[0 2 1 1 1 0 2 0 0]]
[[0 2 1 1 1 0 2 2 0]],5,15,[[0 2 1 1 1 1 2 2 0]]
[[0 0 0 0 0 0 0 0 0]],2,1,[[0 0 1 0 0 0 0 0 0]]
[[0 0 1 0 0 2 0 0 0]],7,1,[[0 0 1 0 0 2 0 1 0]]
[[0 0 1 0 0 2 2 1 0]],1,1,[[0 1 1 0 0 2 2 1 0]]
[[0 1 1 2 0 2 2 1 0]],4,15,[[0 1 1 2 1 2 2 1 0]]
[[0 0 0 0 0 0 0 0 0]],4,1,[[0 0 0 0 1 0 0 0 0]]
[[0 0 0 0 1 0 0 0 2]],7,1,[[0 0 0 0 1 0 0 1 2]]
[[0 0 0 0 1 2 0 1 2]],2,1,[[0 0 1 0 1 2 0 1 2]]
[[2 0 1 0 1 2 0 1 2]],3,1,[[2 0 1 1 1 2 0 1 2]]
[[2 0 1 1 1 2 2 1 2]],1,15,[[2 1 1 1 1 2 2 1 2]]
[[0 0 0 0 0 0 0 0 0]],2,1,[[0 0 1 0 0 0 0 0 0]]
[[0 0 1 0 2 0 0 0 0]],5,1,[[0 0 1 0 2 1 0 0 0]]
[[0 0 1 0 2 1 0 2 0]],0,1,[[1 0 1 0 2 1 0 2 0]]
[[1 0 1 0 2 1 2 2 0]],3,1,[[1 0 1 1 2 1 2 2 0]]
[[1 0 1 0 2 1 2 2 0]],3,-20,[[1 0 1 1 2 1 2 2 2]]
[[0 0 0 0 0 0 0 0 0]],1,1,[[0 1 0 0 0 0 0 0 0]]
[[2 1 0 0 0 0 0 0 0]],4,1,[[2 1 0 0 1 0 0 0 0]]
[[2 1 2 0 1 0 0 0 0]],8,1,[[2 1 2 0 1 0 0 0 1]]
[[2 1 2 0 1 0 2 0 1]],0,-20,[[1 1 2 0 1 0 2 0 1]]
[[0 0 0 0 0 0 0 0 0]],6,1,[[0 0 0 0 0 0 1 0 0]]
